"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","93","TC008 - List filtering operations","","2026-02-12","passed","2026-02-12","","Comprehensive Test Suite","",""
"","95","TC009 - Error handling check (Expected Failure)","","2026-02-12","passed","2026-02-12","","Comprehensive Test Suite","",""
"","95","TC010 - Performance assertion","","2026-02-12","passed","2026-02-12","","Comprehensive Test Suite","",""
"","80","TC007 - Complex calculation validation","","2026-02-12","passed","2026-02-12","","Comprehensive Test Suite","",""
"","3020","TC005 - Login validation checks","","2026-02-12","passed","2026-02-12","","Comprehensive Test Suite","",""
"","190244","Transfer Workflow - Flexi to Company with Threshold Approvals - Range 3 (example #4)","","2026-02-13","passed","2026-02-13","","Transfers from Flexi Account","",""
"","97","TC002 - User can verify string operations","","2026-02-12","passed","2026-02-12","","Comprehensive Test Suite","",""
"","184710","Transfer Workflow - Flexi to Company with Threshold Approvals - Range 0 (example #1)","","2026-02-13","passed","2026-02-13","","Transfers from Flexi Account","",""
"","74","TC003 - Array operations work correctly","","2026-02-12","passed","2026-02-12","","Comprehensive Test Suite","",""
"","175271","Transfer Workflow - Flexi to Company with Threshold Approvals - Range 2 (example #3)","","2026-02-13","passed","2026-02-13","","Transfers from Flexi Account","",""
"","86","TC004 - Boolean logic verification","","2026-02-12","passed","2026-02-12","","Comprehensive Test Suite","",""
"","76","TC001 - User can perform basic math operations","","2026-02-12","passed","2026-02-12","","Comprehensive Test Suite","",""
"","155494","Transfer Workflow - Flexi to Company with Threshold Approvals - Range 1 (example #2)","","2026-02-13","passed","2026-02-13","","Transfers from Flexi Account","",""
"","90","TC006 - Data validation with multiple fields","","2026-02-12","passed","2026-02-12","","Comprehensive Test Suite","",""
